"","rust.mean","rust.error","lecan.mean","lecan.error","myco.mean","myco.error","mite.mean","mite.error","snail.mean","snail.error"
"1",16.5811623246493,1.77471755191034,0.3687374749499,0.0768112087489804,0.214428857715431,0.0327206314442844,0.128256513026052,0.0264453564749051,0.00801603206412826,0.00633341102102017
"2",20.44,1.89187610333784,0.66,0.0907373491626581,0.168,0.0285864718485071,0.094,0.0216162560368372,0.042,0.0160307820128616
"3",22.892,1.99101203659338,0.924,0.123364848200543,0.21,0.0350750697938306,0.108,0.0281826280009882,0.042,0.0174666013960546
"4",25.562,2.16598691376962,1.114,0.13319718834106,0.502,0.0689165508565535,0.144,0.0388012767593582,0.052,0.0200847902054064
"5",32.822,2.55266857733852,1.53,0.156701342116915,0.782,0.109786420454592,0.05,0.0205875616669576,0.028,0.0159668996291558
"6",25.05,1.92513499422732,1.64375,0.167518022820617,0.414583333333333,0.0800274482277461,0.0395833333333333,0.0156410118608002,0.0104166666666667,0.00463898334063639
"7",11.132,0.908749031142926,0.706,0.0935555090122066,0.06,0.0200400400801202,0.016,0.00745648700104772,0.002,0.002
"8",13.64,1.33240662518229,0.466,0.0611978623541168,0.076,0.0241166171434737,0.022,0.014814551693648,0,0
"9",12.904,1.41729849999079,0.49,0.060490645859281,0.09,0.0235990217520835,0.014,0.00661024891978836,0,0
"10",22.746,2.14200544879918,0.854,0.102949332830575,0.316,0.0533477268486656,0.014,0.00525959377265076,0,0
"11",29.688,2.80319551980316,1.056,0.121915769733942,0.526,0.0722016215073913,0.042,0.0132975806559917,0.026,0.0155927633387118
"12",38.354,3.29666762091746,1.662,0.168262105872193,0.516,0.0792467544836531,0.26,0.0501780397319653,0.022,0.00769092326064969
